"stop_id,stop_name,stop_lat,stop_lon,location_type"
"B1_141,عرب المساعيد,30.000500,31.287000,"
"B1_142,شارع التسعين,30.0122123,31.4430295,"
"B1_143,كورنيش النيل,30.05488,31.229404,"
"B1_144,عرب الطوايلة,30.1394568,31.3154,"
"B1_145,شارع بوسرعبد,30.0483239,31.2544961,"
"B1_146,طريق الفنجري,30.0787597,31.3000021,"
"B1_147,باب الشعربية,30.0574494,31.2605244,"
"B1_148,ميدان الساعة,30.06914829999999,31.3383494,"
"B1_149,العتبةالجراج,30.051800,31.246800,"
"B1_150,مصطفى النحاس,30.0946132,31.2804235,"
"B1_151,كوبري الساحل,30.097947,31.2453524,"
"B1_152,ميدان الحصري,30.0838366,31.274501,"
"B1_153,شاع 26 يوليو,30.0525881,31.2423088,"
"B1_154,شارع الميثاق,30.0825392,31.2607585,"
"B1_155,شارع الطيران,30.0672172,31.3245531,"
"B1_156,الطوب الرملي,30.0413872,31.3633528,"
"B1_157,شارع العروبة,30.1244081,31.3998162,"
"B1_158,محور السادات,30.051618,31.2844588,"
"B1_159,السيده نفيسه,30.0225784,31.2474555,"
"B1_160,طريق الواحات,29.978000,30.622000,"
"B1_161,ميدان الحجاز,30.0554077,31.1986995,"
"B1_162,مساكن الشروق,30.0681982,31.3602534,"
"B1_163,مؤسسة الزكاة,30.063500,31.259500,"
"B1_164,التجمع الدولي,30.006000,31.428000,"
"B1_165,كورينش النيل,30.05488,31.229404,"
"B1_166,باب الشعرية,30.0574494,31.2605244,"
"B1_167,شارع الثورة,30.0901315,31.2578831,"
"B1_168,طريق السويس,30.0860183,31.9405708,"
"B1_169,مدينة الأمل,30.0644684,31.3815587,"
"B1_170,عرب الطويلة,30.1394568,31.3154,"
"B1_171,الحي العاشر,30.0435279,31.3792321,"
"B1_172,شارع الحرية,29.9812155,31.3260071,"
"B1_173,عرب المعادي,30.0213609,31.2268647,"
"B1_174,حسن المأمون,30.0344575,31.3551628,"
"B1_175,مدينة النور,30.0952697,31.2632137,"
"B1_176,كوبرى عرابي,30.0698047,31.196102,"
"B1_177,طريق الواحة,29.980000,30.625000,"
