"trip_id,stop_id,stop_sequence,arrival_time,departure_time"
"B1_trip_145,B1_36,4,08:00:00,08:00:00"
"B1_trip_145,B1_155,5,08:00:00,08:00:00"
"B1_trip_145,B1_181,6,08:00:00,08:00:00"
"B1_trip_145,B1_197,7,08:00:00,08:00:00"
"B1_trip_145,B1_275,8,08:00:00,08:00:00"
"B1_trip_145,B1_156,9,08:00:00,08:00:00"
"B1_trip_146,B1_221,1,08:00:00,08:00:00"
"B1_trip_146,B1_67,2,08:00:00,08:00:00"
"B1_trip_146,B1_161,3,08:00:00,08:00:00"
"B1_trip_146,B1_188,4,08:00:00,08:00:00"
"B1_trip_146,B1_140,5,08:00:00,08:00:00"
"B1_trip_146,B1_208,6,08:00:00,08:00:00"
"B1_trip_146,B1_330,7,08:00:00,08:00:00"
"B1_trip_146,B1_243,8,08:00:00,08:00:00"
"B1_trip_146,B1_47,9,08:00:00,08:00:00"
"B1_trip_146,B1_159,10,08:00:00,08:00:00"
"B1_trip_148,B1_242,1,08:00:00,08:00:00"
"B1_trip_148,B1_109,2,08:00:00,08:00:00"
"B1_trip_148,B1_67,3,08:00:00,08:00:00"
"B1_trip_148,B1_45,4,08:00:00,08:00:00"
"B1_trip_148,B1_301,5,08:00:00,08:00:00"
"B1_trip_148,B1_188,6,08:00:00,08:00:00"
"B1_trip_148,B1_81,7,08:00:00,08:00:00"
"B1_trip_148,B1_121,8,08:00:00,08:00:00"
"B1_trip_148,B1_322,9,08:00:00,08:00:00"
"B1_trip_148,B1_23,10,08:00:00,08:00:00"
"B1_trip_148,B1_276,11,08:00:00,08:00:00"
"B1_trip_149,B1_66,1,08:00:00,08:00:00"
"B1_trip_149,B1_151,2,08:00:00,08:00:00"
"B1_trip_149,B1_256,3,08:00:00,08:00:00"
"B1_trip_149,B1_208,4,08:00:00,08:00:00"
"B1_trip_149,B1_132,5,08:00:00,08:00:00"
"B1_trip_149,B1_30,6,08:00:00,08:00:00"
"B1_trip_149,B1_47,7,08:00:00,08:00:00"
"B1_trip_149,B1_23,8,08:00:00,08:00:00"
"B1_trip_149,B1_279,9,08:00:00,08:00:00"
"B1_trip_150,B1_320,1,08:00:00,08:00:00"
"B1_trip_150,B1_216,2,08:00:00,08:00:00"
"B1_trip_150,B1_214,3,08:00:00,08:00:00"
"B1_trip_150,B1_330,4,08:00:00,08:00:00"
"B1_trip_150,B1_208,5,08:00:00,08:00:00"
"B1_trip_150,B1_140,6,08:00:00,08:00:00"
"B1_trip_150,B1_17,7,08:00:00,08:00:00"
"B1_trip_150,B1_39,8,08:00:00,08:00:00"
"B1_trip_150,B1_277,9,08:00:00,08:00:00"
"B1_trip_150,B1_114,10,08:00:00,08:00:00"
"B1_trip_150,B1_131,11,08:00:00,08:00:00"
"B1_trip_150,B1_233,12,08:00:00,08:00:00"
"B1_trip_151,B1_331,1,08:00:00,08:00:00"
"B1_trip_151,B1_119,2,08:00:00,08:00:00"
"B1_trip_151,B1_55,3,08:00:00,08:00:00"
"B1_trip_151,B1_106,4,08:00:00,08:00:00"
"B1_trip_151,B1_81,5,08:00:00,08:00:00"
"B1_trip_151,B1_81,6,08:00:00,08:00:00"
"B1_trip_151,B1_84,7,08:00:00,08:00:00"
"B1_trip_151,B1_22,8,08:00:00,08:00:00"
"B1_trip_151,B1_86,9,08:00:00,08:00:00"
"B1_trip_153,B1_117,1,08:00:00,08:00:00"
"B1_trip_153,B1_119,2,08:00:00,08:00:00"
"B1_trip_153,B1_96,3,08:00:00,08:00:00"
"B1_trip_153,B1_188,4,08:00:00,08:00:00"
"B1_trip_153,B1_17,5,08:00:00,08:00:00"
"B1_trip_153,B1_210,6,08:00:00,08:00:00"
"B1_trip_153,B1_174,7,08:00:00,08:00:00"
"B1_trip_153,B1_171,8,08:00:00,08:00:00"
"B1_trip_153,B1_6,9,08:00:00,08:00:00"
"B1_trip_159,B1_231,1,08:00:00,08:00:00"
"B1_trip_159,B1_292,2,08:00:00,08:00:00"
"B1_trip_159,B1_272,3,08:00:00,08:00:00"
"B1_trip_159,B1_136,4,08:00:00,08:00:00"
"B1_trip_159,B1_188,5,08:00:00,08:00:00"
"B1_trip_159,B1_102,6,08:00:00,08:00:00"
"B1_trip_159,B1_210,7,08:00:00,08:00:00"
"B1_trip_159,B1_155,8,08:00:00,08:00:00"
"B1_trip_159,B1_150,9,08:00:00,08:00:00"
"B1_trip_159,B1_318,10,08:00:00,08:00:00"
"B1_trip_159,B1_171,11,08:00:00,08:00:00"
"B1_trip_159,B1_118,12,08:00:00,08:00:00"
"B1_trip_162,B1_176,1,08:00:00,08:00:00"
"B1_trip_162,B1_113,2,08:00:00,08:00:00"
"B1_trip_162,B1_105,3,08:00:00,08:00:00"
"B1_trip_162,B1_100,4,08:00:00,08:00:00"
"B1_trip_162,B1_213,5,08:00:00,08:00:00"
"B1_trip_162,B1_168,6,08:00:00,08:00:00"
"B1_trip_162,B1_83,7,08:00:00,08:00:00"
"B1_trip_162,B1_80,8,08:00:00,08:00:00"
"B1_trip_165,B1_215,1,08:00:00,08:00:00"
"B1_trip_165,B1_214,2,08:00:00,08:00:00"
"B1_trip_165,B1_113,3,08:00:00,08:00:00"
"B1_trip_165,B1_107,4,08:00:00,08:00:00"
"B1_trip_165,B1_208,5,08:00:00,08:00:00"
"B1_trip_165,B1_132,6,08:00:00,08:00:00"
"B1_trip_165,B1_121,7,08:00:00,08:00:00"
"B1_trip_165,B1_23,8,08:00:00,08:00:00"
"B1_trip_165,B1_39,9,08:00:00,08:00:00"
"B1_trip_165,B1_279,10,08:00:00,08:00:00"
"B1_trip_167,B1_80,1,08:00:00,08:00:00"
"B1_trip_167,B1_181,2,08:00:00,08:00:00"
"B1_trip_167,B1_128,3,08:00:00,08:00:00"
"B1_trip_167,B1_39,4,08:00:00,08:00:00"
"B1_trip_167,B1_140,5,08:00:00,08:00:00"
"B1_trip_167,B1_208,6,08:00:00,08:00:00"
"B1_trip_167,B1_76,7,08:00:00,08:00:00"
"B1_trip_167,B1_300,8,08:00:00,08:00:00"
"B1_trip_167,B1_140,9,08:00:00,08:00:00"
"B1_trip_167,B1_286,10,08:00:00,08:00:00"
"B1_trip_167,B1_205,11,08:00:00,08:00:00"
"B1_trip_17,B1_163,1,08:00:00,08:00:00"
"B1_trip_17,B1_295,2,08:00:00,08:00:00"
"B1_trip_17,B1_67,3,08:00:00,08:00:00"
"B1_trip_17,B1_294,4,08:00:00,08:00:00"
"B1_trip_17,B1_161,5,08:00:00,08:00:00"
"B1_trip_17,B1_188,6,08:00:00,08:00:00"
"B1_trip_17,B1_81,7,08:00:00,08:00:00"
"B1_trip_17,B1_208,8,08:00:00,08:00:00"
"B1_trip_17,B1_90,9,08:00:00,08:00:00"
"B1_trip_17,B1_47,10,08:00:00,08:00:00"
"B1_trip_17,B1_159,11,08:00:00,08:00:00"
"B1_trip_18,B1_162,1,08:00:00,08:00:00"
"B1_trip_18,B1_210,2,08:00:00,08:00:00"
"B1_trip_18,B1_102,3,08:00:00,08:00:00"
"B1_trip_18,B1_188,4,08:00:00,08:00:00"
"B1_trip_18,B1_226,5,08:00:00,08:00:00"
"B1_trip_18,B1_100,6,08:00:00,08:00:00"
"B1_trip_18,B1_199,7,08:00:00,08:00:00"
"B1_trip_18,B1_105,8,08:00:00,08:00:00"
"B1_trip_18,B1_227,9,08:00:00,08:00:00"
"B1_trip_2001,B1_263,1,08:00:00,08:00:00"
"B1_trip_2001,B1_238,2,08:00:00,08:00:00"
"B1_trip_2001,B1_48,3,08:00:00,08:00:00"
"B1_trip_2001,B1_192,4,08:00:00,08:00:00"
"B1_trip_2001,B1_90,5,08:00:00,08:00:00"
"B1_trip_2001,B1_214,6,08:00:00,08:00:00"
"B1_trip_2001,B1_51,7,08:00:00,08:00:00"
"B1_trip_2001,B1_52,8,08:00:00,08:00:00"
"B1_trip_2001,B1_57,9,08:00:00,08:00:00"
"B1_trip_2002,B1_57,1,08:00:00,08:00:00"
"B1_trip_2002,B1_143,2,08:00:00,08:00:00"
"B1_trip_2002,B1_330,3,08:00:00,08:00:00"
"B1_trip_2002,B1_38,4,08:00:00,08:00:00"
"B1_trip_2002,B1_27,5,08:00:00,08:00:00"
"B1_trip_2002,B1_126,6,08:00:00,08:00:00"
"B1_trip_2002,B1_238,7,08:00:00,08:00:00"
"B1_trip_2002,B1_92,8,08:00:00,08:00:00"
"B1_trip_2002,B1_183,9,08:00:00,08:00:00"
"B1_trip_2002,B1_237,10,08:00:00,08:00:00"
"B1_trip_2003,B1_333,1,08:00:00,08:00:00"
"B1_trip_2003,B1_5,2,08:00:00,08:00:00"
"B1_trip_2003,B1_79,3,08:00:00,08:00:00"
"B1_trip_2003,B1_193,4,08:00:00,08:00:00"
"B1_trip_2003,B1_255,5,08:00:00,08:00:00"
"B1_trip_2003,B1_122,6,08:00:00,08:00:00"
"B1_trip_2003,B1_2,7,08:00:00,08:00:00"
"B1_trip_202,B1_144,1,08:00:00,08:00:00"
