"route_id,service_id,trip_id,shape_id,direction_id"
"MB_72,MB_DAILY,MB_trip_72,MB_shape_72,"
"MB_73,MB_DAILY,MB_trip_73,MB_shape_73,"
"MB_74,MB_DAILY,MB_trip_74,MB_shape_74,"
"MB_75,MB_DAILY,MB_trip_75,MB_shape_75,"
"MB_76,MB_DAILY,MB_trip_76,MB_shape_76,"
"MB_77,MB_DAILY,MB_trip_77,MB_shape_77,"
"MB_78,MB_DAILY,MB_trip_78,MB_shape_78,"
"MB_79,MB_DAILY,MB_trip_79,MB_shape_79,"
"MB_80,MB_DAILY,MB_trip_80,MB_shape_80,"
"MB_81,MB_DAILY,MB_trip_81,MB_shape_81,"
"MB_82,MB_DAILY,MB_trip_82,MB_shape_82,"
"MB_83,MB_DAILY,MB_trip_83,MB_shape_83,"
"MB_84,MB_DAILY,MB_trip_84,MB_shape_84,"
"MB_85,MB_DAILY,MB_trip_85,MB_shape_85,"
"MB_86,MB_DAILY,MB_trip_86,MB_shape_86,"
"MB_87,MB_DAILY,MB_trip_87,MB_shape_87,"
"MB_88,MB_DAILY,MB_trip_88,MB_shape_88,"
"MB_89,MB_DAILY,MB_trip_89,MB_shape_89,"
"MB_90,MB_DAILY,MB_trip_90,MB_shape_90,"
"MB_91,MB_DAILY,MB_trip_91,MB_shape_91,"
"MB_92,MB_DAILY,MB_trip_92,MB_shape_92,"
"MB_93,MB_DAILY,MB_trip_93,MB_shape_93,"
"MB_94,MB_DAILY,MB_trip_94,MB_shape_94,"
"MB_95,MB_DAILY,MB_trip_95,MB_shape_95,"
"MB_96,MB_DAILY,MB_trip_96,MB_shape_96,"
"MB_97,MB_DAILY,MB_trip_97,MB_shape_97,"
"MB_98,MB_DAILY,MB_trip_98,MB_shape_98,"
"MB_99,MB_DAILY,MB_trip_99,MB_shape_99,"
"MB_100,MB_DAILY,MB_trip_100,MB_shape_100,"
"MB_101,MB_DAILY,MB_trip_101,MB_shape_101,"
"MB_102,MB_DAILY,MB_trip_102,MB_shape_102,"
"MB_103,MB_DAILY,MB_trip_103,MB_shape_103,"
"MB_104,MB_DAILY,MB_trip_104,MB_shape_104,"
"MB_105,MB_DAILY,MB_trip_105,MB_shape_105,"
"MB_106,MB_DAILY,MB_trip_106,MB_shape_106,"
"MB_107,MB_DAILY,MB_trip_107,MB_shape_107,"
"MB_108,MB_DAILY,MB_trip_108,MB_shape_108,"
"MB_109,MB_DAILY,MB_trip_109,MB_shape_109,"
"MB_110,MB_DAILY,MB_trip_110,MB_shape_110,"
"MB_111,MB_DAILY,MB_trip_111,MB_shape_111,"
"MB_112,MB_DAILY,MB_trip_112,MB_shape_112,"
